epoch,time(s),train_loss,test_loss,test_error(%)
001,00020,3.682060,3.86366,90.07
002,00019,3.239303,3.18808,79.23
003,00019,2.711897,2.89626,73.16
004,00019,2.412340,2.51940,65.37
005,00019,2.194002,2.62355,64.67
006,00019,1.964907,2.23477,59.22
007,00019,1.976168,2.05491,55.24
008,00019,1.869490,2.42546,60.69
009,00019,1.825386,2.04508,54.44
010,00019,1.748716,1.79757,50.51
011,00019,1.710411,2.25382,57.96
012,00019,1.670943,1.77982,49.08
013,00019,1.589823,1.69205,47.03
014,00019,1.550760,1.74134,46.81
015,00019,1.603955,1.84303,49.18
016,00019,1.487803,1.93695,50.02
017,00019,1.557325,1.80326,48.66
018,00019,1.456208,1.85727,49.73
019,00019,1.494869,1.69881,46.93
020,00019,1.492293,1.59395,44.05
021,00019,1.373807,1.74805,47.19
022,00019,1.419223,1.80773,48.32
023,00019,1.405805,1.56175,42.63
024,00019,1.411354,1.68626,44.97
025,00019,1.416767,2.03605,50.22
026,00019,1.312623,1.60110,44.20
027,00019,1.350003,1.58561,43.39
028,00019,1.374561,1.64079,44.80
029,00019,1.309142,1.59094,43.18
030,00019,1.311405,1.55472,42.94
031,00019,1.248590,1.48290,40.49
032,00019,1.248820,1.66560,43.82
033,00019,1.274896,1.51021,41.81
034,00019,1.290407,1.62385,42.69
035,00019,1.252263,1.60348,43.54
036,00019,1.282161,1.61807,43.72
037,00019,1.251603,1.58399,42.28
038,00019,1.277502,1.55887,41.88
039,00019,1.324576,1.67744,44.40
040,00019,1.220258,1.46712,40.53
041,00019,1.174572,1.48237,40.09
042,00019,1.196592,1.43938,38.59
043,00019,1.189383,1.51682,40.17
044,00019,1.158808,1.44303,38.74
045,00019,1.159764,1.47164,39.63
046,00019,1.161794,1.40116,39.55
047,00019,1.108515,1.37535,37.74
048,00019,1.081201,1.36594,37.62
049,00019,1.068267,1.30144,35.77
050,00019,0.991035,1.38429,37.16
051,00019,1.085941,1.36025,37.47
052,00019,1.024445,1.41964,38.01
053,00019,1.047144,1.30100,35.78
054,00019,1.058085,1.24631,35.08
055,00019,0.922460,1.27534,34.53
056,00019,0.980869,1.26433,34.74
057,00019,0.970562,1.35289,36.44
058,00019,0.934257,1.23859,34.20
059,00019,0.948215,1.27474,35.00
060,00019,0.912282,1.22288,33.59
061,00019,0.839944,1.21902,33.50
062,00019,0.875153,1.17592,32.56
063,00019,0.824376,1.21518,32.95
064,00019,0.839179,1.15212,32.22
065,00019,0.817520,1.09406,30.98
066,00019,0.808409,1.18053,32.67
067,00019,0.811211,1.13570,30.69
068,00019,0.775105,1.14151,31.07
069,00019,0.746392,1.16114,31.78
070,00019,0.732438,1.09793,29.66
071,00019,0.647392,1.10411,30.15
072,00019,0.655868,1.07871,29.53
073,00019,0.645474,1.10578,29.41
074,00019,0.602637,1.07479,28.87
075,00019,0.596565,1.06603,28.33
076,00019,0.611081,1.04116,28.29
077,00019,0.531013,1.05468,28.20
078,00020,0.458193,1.02902,27.36
079,00020,0.495043,1.05698,28.00
080,00020,0.468165,1.02653,27.14
081,00020,0.405918,1.00942,26.31
082,00020,0.415815,1.00982,26.46
083,00020,0.410160,1.00672,26.04
084,00019,0.369159,1.01432,26.06
085,00019,0.324257,0.98473,25.42
086,00019,0.318917,0.98577,25.33
087,00020,0.291315,0.98770,24.70
088,00020,0.237801,0.99009,24.60
089,00020,0.248867,0.98614,24.71
090,00021,0.234104,0.98100,24.62
091,00020,0.196257,0.97346,24.22
092,00020,0.175561,0.97890,24.18
093,00020,0.207194,0.97865,24.30
094,00019,0.174903,0.97187,24.05
095,00020,0.189743,0.97673,23.96
096,00020,0.189103,0.97386,23.80
097,00019,0.156719,0.97753,23.93
098,00020,0.159061,0.97355,23.93
099,00020,0.148990,0.97105,23.91
100,00020,0.157943,0.97999,23.91
